month,community_district,numbldgs,unitstotal,asland_sqft,pct_clean_strts,pct_lot_area_open_space,pct_lot_area_public_facility_institution,pct_lot_area_res_1_2_family_bldg,pct_lot_area_res_multifamily_walkup,restaurant,business
3/1/18,BK04,11669,45929,6.324433451,88.4,15.64,8.36,19.96,30,296,504
3/1/18,BK05,23842,80991,7.760995776,98.8,12.88,7.57,26.48,10.95,192,745
3/1/18,BK06,14401,60480,10.19918621,100,5.73,5.08,13.75,21.2,116,519
3/1/18,BK07,14707,46647,7.683347306,97.3,27.88,3.59,15.65,11.21,1393,690
3/1/18,BK08,8429,50436,8.658653656,83.5,5.29,9.95,18.84,31.79,4199,321
3/1/18,BK09,8839,42765,9.35865698,98.7,1.71,19.59,32.61,15.47,4118,240
3/1/18,BK10,24361,57029,6.870534058,98.9,22.85,14.79,36.09,9.88,2700,615
3/1/18,BK11,29624,74361,7.254458861,93.6,2.49,4.12,43.75,27.28,3827,990
3/1/18,BK12,25105,66549,9.396410191,98.9,5.81,7.06,39.34,21.96,1870,881
3/1/18,BK13,8169,49603,8.753933296,100,25.05,7.49,13.61,7.44,1750,491
3/1/18,BK14,17127,65900,9.960138777,90,3.52,8.41,47.17,9.79,2433,633
3/1/18,BK15,30913,70473,7.826133684,99,3.81,8.83,51.53,8.31,420,796
3/1/18,BK16,8704,38764,8.540645047,61.7,5.28,9.11,22.29,20.62,628,315
3/1/18,BK17,25238,61225,8.589272738,100,7.51,6.86,42.64,18.29,431,564
3/1/18,BK18,45221,69278,12.14469027,95.5,22.46,4.64,45.25,5.38,1111,711
3/1/18,QN01,25111,97606,10.58201991,98,6.02,16.86,14.19,15.18,2577,1178
3/1/18,QN02,12363,80837,12.6565547,99.1,20.68,3.54,10.44,7.65,1191,681
3/1/18,QN03,19654,57898,17.82866676,100,1.93,6.63,43.21,18.58,1307,779
3/1/18,QN04,15015,57551,12.43246676,98.3,2.66,6.89,27.05,27.85,863,675
3/1/18,QN05,41856,71798,5.872876375,97.3,31.04,2.5,30.91,9.87,807,1032
3/1/18,QN06,14646,59316,12.97364571,98.8,1.93,6.25,46.94,4.13,601,442
3/1/18,QN07,49724,109482,6.943023407,99.4,13.24,7.07,42.47,7.9,1056,1236
3/1/18,QN08,30521,63878,8.353599237,99,19.88,10.87,43.1,12.8,168,480
3/1/18,QN09,29726,49766,7.044310148,97.9,4.51,4.51,55.94,10.36,348,895
3/1/18,QN10,37478,42176,4.640498841,100,19.73,2.6,55.79,5.11,218,751
3/1/18,QN11,39940,47723,8.682650752,100,19.93,4.95,54.85,10.78,448,453
3/1/18,QN12,60174,86108,6.32463246,96.6,6.13,7.05,59.01,2.94,154,1226
3/1/18,QN13,71203,65801,5.460406576,98.1,11.31,7.98,61.24,5.19,63,717
3/1/18,QN14,21576,48176,4.736435445,93.8,18.39,5.12,41.66,4.15,120,271
3/1/18,SI01,49963,75133,3.786582751,99.1,9.62,7.36,43.86,4.77,161,1028
3/1/18,SI02,41093,54433,4.140635761,100,21.05,10.92,27.85,2.17,100,745
3/1/18,SI03,53118,63552,3.42698642,100,17.96,4.6,40.9,1.3,92,739
4/1/18,,1760,55988,79.28216106,100,4.35,31.68,0.17,0.63,3295,635
4/1/18,,5375,72165,100.3247531,98.7,3.55,9.63,4.47,10.26,1271,879
4/1/18,,4708,94059,58.23680177,93.4,14.95,11.15,0.32,8.66,580,771
4/1/18,,3923,100090,105.4023865,100,2.81,11.75,0.88,7.68,964,917
4/1/18,,3190,95425,516.0668245,100,1.59,6.49,0.09,0.67,270,1867
4/1/18,,3119,113073,200.0855857,97.3,3.29,16.3,1.78,4.6,2028,772
4/1/18,,4779,136570,114.7340333,100,19.14,10.24,2.16,10.88,1143,758
4/1/18,,6086,159585,178.8084465,98.4,2.42,13.79,5.67,9.17,965,1049
4/1/18,,2634,48590,24.39158809,97.3,15.52,23.27,2.43,10.64,205,307
4/1/18,,4849,63635,25.0963106,91.9,6.3,14.53,4.14,20.61,952,403
4/1/18,,3314,60777,17.09021499,96.5,42.54,10.63,0.36,5.08,328,431
4/1/18,,2921,76778,16.92662418,92.1,41.45,9.19,0.5,9.47,267,676
4/1/18,,4386,41918,6.707589221,86,6.48,10.61,5.77,7.42,87,453
4/1/18,,3283,21902,5.496919864,81.3,2.67,5.76,4.16,6.01,376,325
