PropNum,Prop ID,Boro,AMPSDistrict,Prop Name,Site Name,Prop Location,Site Location,Acres,Category,Sub-Category,Rated,Reason Not Rated,Council District,ZipCode,COMMUNITYBOARD,Jurisdiction,NYSAssembly,NYSSenate,USCongress,Precinct,ComfortStation,PermitDistrict,GISBoro,GIS Site Location
BZ553,BZ553,B,07,,,"Rectangular planting bed in raised sidewalk, NW Park Circle, 2 of 3","Rectangular planting bed in raised sidewalk, NW Park Circle, 2 of 3",0.001,Greenstreet,,0,,,,,DOT,,,,,0,,,
MS009,MS009,M,12,P.S. 5,,"Harlem River Drive, Dyckman St. and 10 Ave.","Harlem River Drive, Dyckman St. and 10 Ave.",0.407,Small Park,DOE Plgd,0,,,,,DOE,,,,,0,,,
QS068,QS068,Q,05,P.S. 75 ROBERT E. PEARY,,Weirfield St. bet. Cypress Ave. and Wyckoff Ave.,Weirfield St. bet. Cypress Ave. and Wyckoff Ave.,0.294,,,0,,,,,DOE,,,,,,,,
RZ137,RZ137,R,02,GREENSTREET,,Richmond And Amsterdam,Richmond And Amsterdam,0.049,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
Q427,Q427,Q,12,South Rochdale Playground,,134 Rd. and 173 St.,134 Rd. and 173 St.,0.942,Small Park,JOP,1,,,,,DPR/DOE,,,,,0,,,
X122,X122,X,10,Colucci Playground,,Hutchinson River Pkwy. E. bet. Wilkinson Ave. and E. 197 St.,Hutchinson River Pkwy. E. bet. Wilkinson Ave. and E. 197 St.,4,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
X364,X364,X,09,Havemeyer Garden Association,,"Havemeyer Ave., Lacombe Ave., Zerega Ave.","Havemeyer Ave., Lacombe Ave., Zerega Ave.",0.136,,,0,,,,,DPR,,,,,,,,
QZ763,QZ763,Q,08,Greenstreet,,67 Av Bet 181 St & 182 St,67 Av Bet 181 St & 182 St,0.036,Greenstreet,,0,,,,,DOT,,,,,0,,,
M052,M052,M,05,Madison Square Park,,"Broadway, Madison Ave. bet. E. 23 St. and E. 26 St.","Broadway, Madison Ave. bet. E. 23 St. and E. 26 St.",6.234,Large Park,Large Park,1,,,,,DPR,,,,,0,,,
X095,X095,X,14,Williamsbridge Square,,White Plains Rd. bet. E. 212 St. and Magenta St.,White Plains Rd. bet. E. 212 St. and Magenta St.,1.395,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
X355,X355,X,06,Leave it Better Kids' Garden,,E. Tremont Ave. bet. Grand Ave. and Davidson Ave.,E. Tremont Ave. bet. Grand Ave. and Davidson Ave.,0.244,,,0,,,,,DPR,,,,,0,,,
M281,M281,M,04,Clinton Community Garden,,"W. 47 St.,  W. 48 St., 9 Ave., 10 Ave.","W. 47 St.,  W. 48 St., 9 Ave., 10 Ave.",0.35,Small Park,Greenthumb,0,Greenthumb garden,,,,DPR,,,,,0,,,
B295,B295,B,02,Oxport Playground,,Flushing Ave. between N. Portland Ave. and N. Oxford St.,Flushing Ave. between N. Portland Ave. and N. Oxford St.,1.033,Small Park,JOP,1,,,,,DPR/DOE,,,,,0,,,
MZ264,MZ264,M,11,GREENSTREET,,Fdr Drive West Lane & 111th Street,Fdr Drive West Lane & 111th Street,0.008,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
M071,M071-ZN32,M,14,Riverside Park,,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",59 St To 67 St On Use Easement,7.427,Large Park,Flagship Park Zone,0,Rated as M353-ZN03,,,,DPR,,,,,0,,,
M071,M071-37,M,14,Riverside Park,,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","W 112-113 Sts, Riverside Dr",0.108,Small Park,Plgd Within Park,1,,,,,DPR,,,,,0,,,
M010,M010-ZN21,M,13,Central Park,,"5 Av To Central Park W, 59 St To 110 St","W 72, 72 St Transverse, Lake",6.195,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
M312,M312,M,03,9th St Community Garden Park,,E. 9. St. and Ave. C,E. 9. St. and Ave. C,0.478,Small Park,Greenthumb,0,Greenthumb,,,,DPR,,,,,0,,,
M096,M096,M,10,Adam Clayton Powell Jr. Malls,,"7 Ave., W. 110 St. To W. 152 St.","7 Ave., W. 110 St. To W. 152 St.",1.679,Small Park,Sitting Area/Triangle/Mall,0,Rated as separate Greenstreets.,,,,DPR,,,,,0,,,
B079,B079,B,03,Saratoga Park,,Halsey St. bet. Howard Ave. and Saratoga Ave.,Halsey St. bet. Howard Ave. and Saratoga Ave.,3.214,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
MZ378,MZ378,M,04,,,9th Ave & W 29 st S side,9th Ave & W 29 st S side,0.006,Greenstreet,,0,,,,,DOT,,,,,0,,,
BZ34,BZ34,B,09,GREENSTREET,,Classon Ave/president St/washington Ave,Classon Ave/president St/washington Ave,0.026,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
R077,R077,R,01,St. George Park,,Stuyvesant Pl. bet. Wall St. and Hamilton Ave.,Stuyvesant Pl. bet. Wall St. and Hamilton Ave.,0.089,Small Park,Sitting Area/Triangle/Mall,0,staten island institute,,,,DPR,,,,,0,,,
X148L,X148L,X,09,Virginia Playground,,McGraw Av bet. White Plains Rd and Virginia Av,McGraw Av bet. White Plains Rd and Virginia Av,0.461,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
QZ121,QZ121,Q,11,Greenstreet,,Francis Lewis Bl At 39th Avnue,Francis Lewis Bl At 39th Avnue,0.013,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
Q162B,Q162B,Q,14,Park,,Rockaway Boardwalk bet. B. 68 St. and B. 67 St.,Rockaway Boardwalk bet. B. 68 St. and B. 67 St.,0,Other,Parking Lot,0,Beach,,,,-,,,,,0,,,
Q483,Q483,Q,04,Corona Health Sanctuary,,"Corona Ave. bet. 104 St. and 106 St., 50 Av.","Corona Ave. bet. 104 St. and 106 St., 50 Av.",0.101,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
B057,B057-ZN07,B,18,Marine Park,,"Flatbush, Gerritsen & Fillmore Aves, Jamaica Bay","Gerritsen Ave, Channel Ave, Gotham Ave",17.623,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
QZ444,QZ444,Q,10,Greenstreet,,99 St & 156 Ave & 157 Av,99 St & 156 Ave & 157 Av,0.014,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X077,X077,X,05,Featherbed Triangle,,Dr. MLK Jr. Blvd and Featherbed La.,Dr. MLK Jr. Blvd and Featherbed La.,0.17,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
Q398,Q398,Q,05,Rosemary's Playground,,"Woodbine St., Madison St. bet. Woodward Ave. and Fairview Ave.","Woodbine St., Madison St. bet. Woodward Ave. and Fairview Ave.",1.967,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
B057,B057-04,B,18,Marine Park,,"Flatbush, Gerritsen & Fillmore Aves, Jamaica Bay",S/O Ave U & E 38 St,2.065,Small Park,Plgd Within Park,1,,,,,DPR,,,,,0,,,
B517,B517,B,16,"Saratoga Square Urban Renewal Area, Sit*",,"Somers St., Rockaway Ave. and Fulton St.","Somers St., Rockaway Ave. and Fulton St.",0.475,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
X148F3,X148F3,X,06,Park,,Cross Bronx Exwy bet. Park Av and Washington Av,Cross Bronx Exwy bet. Park Av and Washington Av,0.592,Small Park,Sitting Area/Triangle/Mall,0,Not DPR - NYPD parking lot,,,,DPR,,,,,0,,,
BZ389,BZ389,B,18,GREENSTREET,,Seaview Ave & East 98 St & East 99 St,Seaview Ave & East 98 St & East 99 St,0.059,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ235,MZ235,M,14,GREENSTREET,,Riverside Drive Bet W 114 St And W 115 St,Riverside Drive Bet W 114 St And W 115 St,0.039,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
M386,M386,M,01,Imagination Playground,,"Front St., John St., and South St.","Front St., John St., and South St.",0.385,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
M071,M071-ZN07,M,14,Riverside Park,,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",84th To 95th Sts Along Riverside Dr.,4.071,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
B445,B445,B,01,Ten Eyck Houses Garden,,Ten Eyck St. between Union Ave. and Lorminer St.,Ten Eyck St. between Union Ave. and Lorminer St.,0.114,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
M337,M337,M,03,Dias Y Flores,,E. 13 St. bet. Ave. A and Ave. B,E. 13 St. bet. Ave. A and Ave. B,0.119,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
M095,M095-ZN07,M,09,Broadway Malls,,"Broadway, W. 135 St. To W. 156 St.",Broadway Between W 145 & W 155 Sts.,1.104,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
MZ301,MZ301,M,10,Dorrence Brook Square (t),,"St Nicholas Ave, W 137 St, W 136 St, and Edgecombe Ave","St Nicholas Ave, W 137 St, W 136 St, and Edgecombe Ave",0.194,Greenstreet,,0,,,,,DOT,,,,,0,,,
XZ96,XZ96,X,04,GREENSTREET,,Tudor Pl. And Grand Concourse,Tudor Pl. And Grand Concourse,0.002,Greenstreet,Type 1,0,completely removed (DOT construction),,,,DOT,,,,,0,,,
M408,M408,M,03,Siempre Verde Garden,,"Attorney St., Stanton St.","Attorney St., Stanton St.",0.061,,,0,,,,,DPR,,,,,,,,
XZ260,XZ260,X,09,GREENSTREET,,Taylor Ave. And Randall Ave.,Taylor Ave. And Randall Ave.,0.013,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ1006,QZ1006,Q,02,Greenstreet,,Hunter St and 27 St,Hunter St and 27 St,0.252,Greenstreet,,0,,,,,DOT,,,,,0,,,
B082,B082-ZN04,B,10,Shore Park and Parkway,,"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge","92nd St To 4 Ave - Upper Half, By Road",8.793,Large Park,Large Park Zone,1,,,,,DPR,,,,,1,,,
X101A,X101A,X,11,Samuel H. Young Park,,Westchester Ave. bet. Waters Ave. and E. Tremont Ave.,Westchester Ave. bet. Waters Ave. and E. Tremont Ave.,1.285,Small Park,Neighborhood Park,1,,,,,DPR,,,,,0,,,
MZ273,MZ273,M,11,GREENSTREET,,Fdr Drive West Lane Bet. E 100 St And E 102 St,Fdr Drive West Lane Bet. E 100 St And E 102 St,0.003,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ649,QZ649,Q,14,GREENSTREET,,BEACH 116 ST & OCEAN PROMENADE (CENTER),BEACH 116 ST & OCEAN PROMENADE (CENTER),0,Greenstreet,Type 1,0,SITE MAY HAVE BEEN REMOVED.,,,,DPR,,,,,0,,,
RZ226,RZ226,R,02,GREENSTREET,,Richmond Bet. Platinum And Richmondhill,Richmond Bet. Platinum And Richmondhill,0.076,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
M361,M361,M,03,Lower East Side Ecology Center,,E. 7 St. bet. Ave. B and Ave. C,E. 7 St. bet. Ave. B and Ave. C,0.15,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
MZ97,MZ97,M,12,GREENSTREET,,Ft. Washington Ave & Margaret Corbin Dr,Ft. Washington Ave & Margaret Corbin Dr,0.018,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
Q370,Q370,Q,08,Freedom Square Playground,,"Vleigh Pl., Main St. bet. 73 Ter. and 76 Ave.","Vleigh Pl., Main St. bet. 73 Ter. and 76 Ave.",0.327,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
MZ131,MZ131,M,02,GREENSTREET,,East Houston St Bet Elizabeth St And Mott st,East Houston St Bet Elizabeth St And Mott st,0.04,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ39,BZ39,B,18,GREENSTREET,,Ralph Ave/ave M/east 65th St,Ralph Ave/ave M/east 65th St,0.081,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
R106,R106,R,03,Bloomingdale Park,,"Richmond Pkwy., West Shore Expw., Lenevar Ave., Ramona Ave.","Richmond Pkwy., West Shore Expw., Lenevar Ave., Ramona Ave.",138.1,Large Park,Large Park,0,Rated as separate zones,,,,DPR,,,,,0,,,
X039,X039-ZN07,X,15,Pelham Bay Park,,"Bruckner Blvd, Eastchester, Hutchinson",(s) City Island Rd. To (w) Pelham Bridge Rd. To (ne) Bartow Creek (lagoon),87.996,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
B294,B294,B,03,Jackie Robinson Park Playground,,Malcom X Blvd. between Chauncey St. and Marion St.,Malcom X Blvd. between Chauncey St. and Marion St.,1.607,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
BZ519,BZ519,B,13,GREENSTREET,,Bay View Ave btw Neptune Ave & W 33 st,Bay View Ave btw Neptune Ave & W 33 st,0.032,Greenstreet,,0,,,,,DOT,,,,,0,,,
R068,R068,R,01,The Big Park,,"Grandview Ave., at Continental Pl.","Grandview Ave., at Continental Pl.",3.014,Small Park,Neighborhood Plgd,1,,,,,DPR/NYCHA,,,,,1,,,
M095,M095-ZN05,M,09,Broadway Malls,,"Broadway, W. 135 St. To W. 156 St.",Broadway Between W 110 & W 122 Sts.,1.312,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
M391,M391-ZN02,M,01,East River Waterfront Esplanade,,FDR Drive bet. Broad St. and Clinton St.-Pier 36,FDR Drive Bet. South St. Seaport And Clinton St. Pier,5.552,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
Q454,Q454,Q,13,Hook Creek Park,,"Brookville Blvd., Huxleyy St. bet. 149 Ave. and Hook Creek Basin","Brookville Blvd., Huxleyy St. bet. 149 Ave. and Hook Creek Basin",111.163,Large Park,Large Park,0,Rated as Focus Park,,,,DPR,,,,,0,,,
BZ556,BZ556,B,19,,,NE Triangular bed @ South Lake Dr. & Park Circle,NE Triangular bed @ South Lake Dr. & Park Circle,0.005,Greenstreet,Type 1,0,,,,,DOT,,,,,0,,,
XZ91,XZ91,X,04,GREENSTREET,,Grand Concourse And East 167th St.,Grand Concourse And East 167th St.,0.002,Greenstreet,Type 1,0,completely removed (DOT construction),,,,DOT,,,,,0,,,
QZ349,QZ349,Q,07,Greenstreet,,Bayside Lane & 27 Av & 164 St,Bayside Lane & 27 Av & 164 St,0.032,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ357,BZ357,B,10,Greenstreet,,Bay Ridge Ave btw Shore Rd & Belt Parkway (S),Bay Ridge Ave btw Shore Rd & Belt Parkway (S),0.056,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
Q448,Q448-ZN02,Q,12,Roy Wilkins Recreation Center,,"Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.",S.E. OF FENCE RUNNING FROM 118TH RD TO HOSPITAL,0,Large Park,Large Park Zone,0,Retired/rezoned,,,,DPR,,,,,0,,,
XZ50,XZ50,X,11,GREENSTREET,,Laconia And Burke,Laconia And Burke,0.056,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
M071,M071-31,M,14,Riverside Park,,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",W 124 St & Riverside Dr,0.338,Small Park,Plgd Within Park,1,,,,,DPR,,,,,1,,,
R005,R005-01,R,01,Clove Lakes Park,,"Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.",Clove Rd & Cheshire Pl,0.394,Small Park,Plgd Within Park,1,,,,,DPR,,,,,0,,,
QZ232,QZ232,Q,01,Greenstreet,,Northern Bl & 37 Av & 37 St,Northern Bl & 37 Av & 37 St,0.06,Greenstreet,Type 1,0,,,,,DOT,,,,,0,,,
MZ234,MZ234,M,03,GREENSTREET,,East Houston St Between Crosby St And Broadway,East Houston St Between Crosby St And Broadway,0.048,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
Q162E,Q162E,Q,14,Beach 59th St Playground,,Rockaway Boardwalk bet. B. 60 St. and B. 59 St.,Rockaway Boardwalk bet. B. 60 St. and B. 59 St.,0.618,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
Q494,Q494,Q,14,Flight 587 Memorial Park,,"Beach 116 St.,  Ocean Promenade","Beach 116 St.,  Ocean Promenade",0.159,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
Q015,Q015-ZN07,Q,16,Forest Park,,"Myrtle Ave, Union Tpke, Park Lane S",(s) Park Lane South To N Of Tennis Courts,14.173,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,1,,,
QZ542,QZ542,Q,13,Greenstreet,,137 Av Bet 232 St & 233 St,137 Av Bet 232 St & 233 St,0.046,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
QZ428,QZ428,Q,09,Greenstreet,,Queens Bl Malls & 80th Rd  11,Queens Bl Malls & 80th Rd  11,0.034,Greenstreet,Type 1,0,not yet,,,,DOT,,,,,0,,,
M010,M010-ZN28,M,13,Central Park,,"5 Av To Central Park W, 59 St To 110 St","CPW, 86 St And West Drive, West Of Great Lawn, 85 St Transverse",22.272,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
Q021,Q021-ZN05,Q,08,Cunningham Park,,"Horace Harding Expwy, Grand Central Pkwy","Oceania St, 73rd Ave, Clearview Expy",62.211,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
M107,M107,M,11R,Wards Island Park,,East River and Hell Gate,East River and Hell Gate,170.7,Large Park,Flagship Park,0,Rated as separate zones,,,,DPR,,,,,0,,,
QZ907,QZ907,Q,11,Greenstreet,,53 Av bet 195 st & 194 st  1,53 Av bet 195 st & 194 st  1,0.021,Greenstreet,,0,,,,,DOT,,,,,0,,,
B347,B347,B,03,Carver Playground,,Sumpter St. to Marion St. between Howard Ave. and Ralph Ave.,Sumpter St. to Marion St. between Howard Ave. and Ralph Ave.,0.964,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
BZ584,BZ584,B,06,GREENSTREET,,"Hamilton Ave, Henry St, Luquer St","Hamilton Ave, Henry St, Luquer St",0.023,Greenstreet,,0,,,,,DOT,,,,,0,,,
XZ419,XZ419,X,07,Muller Triangle,,"E Fordham Rd, Creston Ave & E 190 St","E Fordham Rd, Creston Ave & E 190 St",0.039,Greenstreet,,0,,,,,DOT,,,,,0,,,
XZ467,XZ467,X,08,Greenstreet,,Bailey Ave & Van Cortlandt Park S,Bailey Ave & Van Cortlandt Park S,0.008,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ988,QZ988,Q,08,,,Hillside Ave & 184 St,Hillside Ave & 184 St,0.01,Greenstreet,,0,,,,,DOT,,,,,0,,,
BZ434,BZ434,B,02,GREENSTREET,,Adams St Bet Tillary St & Willoughby St,Adams St Bet Tillary St & Willoughby St,0.015,Greenstreet,,0,,,,,DOT,,,,,0,,,
XZ259,XZ259,X,02,GREENSTREET,,Spofford Ave. And Coster St.,Spofford Ave. And Coster St.,0.055,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
QZ150,QZ150,Q,07,Greenstreet,,Francis Lewis Blvd & 21 Rd & 163 St,Francis Lewis Blvd & 21 Rd & 163 St,0.076,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ316,BZ316,B,17,GREENSTREET,,Ralph Ave & Snyder Ave & East 88th St,Ralph Ave & Snyder Ave & East 88th St,0.019,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
Q262,Q262,Q,11,Alameda Malls,,"Alameda Ave. bet. Northern Blvd., Hanford St. and Northern Blvd., 247 St.","Alameda Ave. bet. Northern Blvd., Hanford St. and Northern Blvd., 247 St.",0.553,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
M058,M058-06,M,11,Marcus Garvey Park,,"Madison Ave, E. 120 St. to E. 124 St.",5 Ave Nr Madison & 124 St,0.162,Small Park,Plgd Within Park,1,,,,,DPR,,,,,0,,,
Q099,Q099_temp3,Q,15,FMCP-Aquatic Center & Ice Rink,,125-40 Roosevelt Avenue,125-40 Roosevelt Avenue,,Large Center,Aquatic Center,1,,,,,DPR,,,,,0,,,
MZ424,MZ424,M,10,Greenstreet,,Adam Clayton Powell Blvd Bet. 138 St & 139 st,Adam Clayton Powell Blvd Bet. 138 St & 139 st,0.047,Greenstreet,,0,,,,,DOT,,,,,0,,,
Q067A,Q067A,Q,02,General Hart Playground,,"Broadway, 37 Ave. bet. 65 St. and 69 St.","Broadway, 37 Ave. bet. 65 St. and 69 St.",0.896,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
BZ166,BZ166,B,10,Greenstreet,,"Fort Hamilton Pkwy, 78th St, and 7th Ave","Fort Hamilton Pkwy, 78th St, and 7th Ave",0.272,Greenstreet,Type 1,0,rated with large park B060 6/3/14 AB.,,,,DOT,,,,,0,,,
B581,B581,B,05,Warwick Street Greenery Glow Garden,,Warwick St. bet. Blake Ave. and Dumont Ave.,Warwick St. bet. Blake Ave. and Dumont Ave.,0.041,,,0,,,,,DPR,,,,,,,,
M061,M061,M,12,Plaza Lafayette,,"Riverside Dr., W. 181 St. To Haven Ave.","Riverside Dr., W. 181 St. To Haven Ave.",0.092,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR/CDOT,,,,,0,,,
XZ58,XZ58,X,04,GREENSTREET,,East 153rd St. And Grand Concourse,East 153rd St. And Grand Concourse,0.045,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
RZ79,RZ79,R,01,GREENSTREET,,Richmond Terr And Stuyvesant,Richmond Terr And Stuyvesant,0.052,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
R089,R089,R,03,Greencroft Playground,,Greencroft Ave. bet. Ainsworth Ave. and Redgrave Ave.,Greencroft Ave. bet. Ainsworth Ave. and Redgrave Ave.,3.23,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
QZ344,QZ344,Q,07,Greenstreet,,164 St Bet Pidgeon Meadow Av & Oak Ave,164 St Bet Pidgeon Meadow Av & Oak Ave,0.015,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
BZ132,BZ132,B,06,GREENSTREET,,"Bergen St, 4th Ave, and Dean St","Bergen St, 4th Ave, and Dean St",0.068,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ307,MZ307,M,08,Greenstreet,,East 92 Street In Asphalt Green By Ramp,East 92 Street In Asphalt Green By Ramp,0.032,Greenstreet,,0,,,,,DOT,,,,,0,,,
XZ440,XZ440,X,05,GREENSTREET,,Grand Concourse btw E Burnside Ave & E 180 St,Grand Concourse btw E Burnside Ave & E 180 St,0.077,Greenstreet,,0,,,,,DOT,,,,,0,,,
MZG002,MZG002,M,05,GREENSTREET,,Broadway btwn W 47 St and W 57 St,Broadway btwn W 47 St and W 57 St,0.125,Greenstreet,,0,,,,,DOT,,,,,0,,,
B073,B073-ZN05,B,19,Prospect Park,,"Prospect Pk W, Flatbush, Parkside, Ocean Aves",Prospect Pk Southwest Btw Prospect Pk West & 16 St,13.076,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
R065,R065-ZN08,R,02,Richmond Parkway,,Staten Island Exwy. To West Shore Exwy.,"Victory Blvd & Forest Hill Rd, East Of Rockland Ave",71.43,Large Park,Large Park Zone,1,,,,,DPR,,,,,1,,,
BT09,BT09,B,01,Manhattan Ave Street End,,"Manhattan Ave., Newtown Creek","Manhattan Ave., Newtown Creek",0,Small Park,Sitting Area/Triangle/Mall,0,Rated under BZ595,,,,CDOT,,,,,0,,,
XZ293,XZ293o,X,12,GREENSTREET,,BRONX BLVD & CARPENTER AVE & 219 ST (1),BRONX BLVD & CARPENTER AVE & 219 ST (1),0,Greenstreet,Type 1,0,District switch,,,,DPR,,,,,0,,,
Q163,Q163-ZN06A,Q,14,Rockaway Beach Boardwalk,,Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,B 87 To B 95 Sts,9.528,Large Park,Beach Zone,1,,,,,DPR,,,,,0,,,
RZ67,RZ67,R,03,GREENSTREET,,Drumgoole Road West & Annadale Road,Drumgoole Road West & Annadale Road,0.07,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
XZ288,XZ288,X,02,GREENSTREET,,Spofford And Coster,Spofford And Coster,0.055,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
BZ137,BZ137,B,11,GREENSTREET,,"Avenue P, Mcdonald Ave, and 65th St","Avenue P, Mcdonald Ave, and 65th St",0.031,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ152,QZ152,Q,07,Greenstreet,,Whitestone Exwy Sr E 137 St & 29 Rd,Whitestone Exwy Sr E 137 St & 29 Rd,0.047,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ525,BZ525,B,03,GREENSTREET,,Lewis ave & Broadway,Lewis ave & Broadway,0.069,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
Q005,Q005-ZN02,Q,12,Baisley Pond Park,,"N. Conduit Ave., 116 Ave. bet. 150 St., Suptin Blvd., and Baisley Blvd. S.","125th Ave, 119th Ave, 155th St, middle Of Lake",7.93,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
M258,M258,M,15,East River Playground,,"FDR Dr., E. 106 St. To E. 107 St.","FDR Dr., E. 106 St. To E. 107 St.",1.285,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
X118A,X118A,X,09,Harding Park Beautification Project,,Bronx River Ave. bet. C St. and Cornell Ave.,Bronx River Ave. bet. C St. and Cornell Ave.,1.16,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
B593,B593,B,03,Bed-Stuy Farm,,Decatur St. bet. Malcom X Blvd. and Patchen Ave.,Decatur St. bet. Malcom X Blvd. and Patchen Ave.,0.06,,,0,,,,,DPR,,,,,,,,
BZ219,BZ219,B,05,GREENSTREET,,"Avenue D, Dewitt Ave, and Van Sinderen Ave","Avenue D, Dewitt Ave, and Van Sinderen Ave",0.287,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X328,X328,X,04,Las Casitas Community Garden,,Woodycrest Av bet. W 167 St and W 166 St,Woodycrest Av bet. W 167 St and W 166 St,0.19,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
BZ158,BZ158,B,18,Greenstreet,,Kings Hwy btw Troy Ave & E 41st St (e),Kings Hwy btw Troy Ave & E 41st St (e),0.108,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
B169,B169-ZN01,B,13,Coney Island Beach & Boardwalk,,"Corbin Pl. to W. 37 St., Boardwalk",CORBIN PL TO CONEY ISLAND AVE,0,Large Park,Beach Zone,0,Split,,,,DPR,,,,,0,,,
Q509,Q509,Q,14,Park,,Nameoke Ave. bet. Brunswick Ave. and Augustina Ave.,Nameoke Ave. bet. Brunswick Ave. and Augustina Ave.,0.318,,,0,,,,,DPR,,,,,,,,
Q096E,Q096E,Q,10,Lefferts Playground,,N. Conduit Ave. bet. Lefferts Blvd. and 122 St.,N. Conduit Ave. bet. Lefferts Blvd. and 122 St.,2.937,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
XZ316,XZ316,X,04,GREENSTREET,,Edward L Grant Hwy And Plimpton Ave.,Edward L Grant Hwy And Plimpton Ave.,0.019,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
