,cd,boro,date,year,month,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,fs_openhours,fs_open,trs_permits,paper_baskets,mgp_baskets,total_number_of_households,hh_compost_num,hh_compost_percent,shape_area,wfr_avg_recycling,wfr_avg_refuse,wfr_avg_bulk,bigbelly,seasonal_wire_litter_basket,highend_basket,publicspacereceptacle,wire_basket,total_litter_baskets
3114,QN10,QN,2021-05-01,2021,5,4294.1,357.3,585.0,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3115,QN10,QN,2021-06-01,2021,6,4743.0,407.8,651.9,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3116,QN10,QN,2021-07-01,2021,7,4564.7,406.1,615.9,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3117,QN10,QN,2021-08-01,2021,8,4363.8,365.4,548.4,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3118,QN10,QN,2021-09-01,2021,9,4387.6,372.6,546.0,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3119,QN10,QN,2021-10-01,2021,10,4260.7,355.6,501.4,0.0,0.0,0.0,0.0,14.0,14.0,39346,0,0.0,0.001696622697619271,1.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0
3120,QN11,QN,2016-11-01,2016,11,3019.9,535.6,394.0,0.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3121,QN11,QN,2016-12-01,2016,12,2558.3,643.9,444.6,339.4,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3122,QN11,QN,2017-01-01,2017,1,2392.5,545.3,432.5,219.2,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3123,QN11,QN,2017-02-01,2017,2,2051.1,418.4,345.5,163.9,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3124,QN11,QN,2017-03-01,2017,3,2266.0,456.3,377.2,173.6,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3125,QN11,QN,2017-04-01,2017,4,2609.9,482.2,414.2,257.4,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3126,QN11,QN,2017-05-01,2017,5,3029.8,513.6,441.1,242.4,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3127,QN11,QN,2017-06-01,2017,6,3101.8,531.4,448.3,214.1,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3128,QN11,QN,2017-07-01,2017,7,2821.7,490.5,414.9,212.7,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3129,QN11,QN,2017-08-01,2017,8,2839.8,509.9,426.8,221.5,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3130,QN11,QN,2017-09-01,2017,9,2696.2,496.1,392.8,195.2,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3131,QN11,QN,2017-10-01,2017,10,2691.9,483.0,396.5,236.4,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3132,QN11,QN,2017-11-01,2017,11,2826.5,522.8,414.4,403.9,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3133,QN11,QN,2017-12-01,2017,12,2483.0,524.0,386.2,301.4,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3134,QN11,QN,2018-01-01,2018,1,2429.9,526.0,438.0,152.3,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3135,QN11,QN,2018-02-01,2018,2,2117.4,438.4,358.3,109.5,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3136,QN11,QN,2018-03-01,2018,3,2391.9,473.0,400.4,128.7,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3137,QN11,QN,2018-04-01,2018,4,2588.5,453.4,408.9,172.6,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3138,QN11,QN,2018-05-01,2018,5,3127.2,494.6,450.1,212.5,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3139,QN11,QN,2018-06-01,2018,6,2939.3,512.1,452.1,193.9,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3140,QN11,QN,2018-07-01,2018,7,2909.1,480.4,432.1,152.9,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3141,QN11,QN,2018-08-01,2018,8,3041.6,482.4,426.2,121.7,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3142,QN11,QN,2018-09-01,2018,9,2865.2,488.3,414.6,111.3,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3143,QN11,QN,2018-10-01,2018,10,3075.8,506.5,440.9,137.3,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3144,QN11,QN,2018-11-01,2018,11,3224.5,516.0,434.6,313.1,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3145,QN11,QN,2018-12-01,2018,12,2758.5,517.3,400.2,147.5,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3146,QN11,QN,2019-01-01,2019,1,2549.8,535.0,460.8,87.7,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3147,QN11,QN,2019-02-01,2019,2,2146.2,393.6,352.9,55.9,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
